variable,field_type,validation,identifier
diagnosis_ad_current_medication,notes,,
diagnosis_ad_describe_psychotherapy,notes,,
diagnosis_ad_hist_psy_med_prob_other,text,,
diagnosis_ad_hist_psy_med_problems,checkbox,,
diagnosis_ad_last_anxious_episode,text,date_ymd,
diagnosis_ad_prescribed_medication,radio,,
diagnosis_ad_previous_medication,notes,,
diagnosis_ad_see_mental_health_professional,radio,,
diagnosis_als_cp,checkbox,,
diagnosis_als_disease_subtype,radio,,
diagnosis_als_disease_subtype_familial,text,,
diagnosis_als_dp,radio,,
diagnosis_als_etiology,checkbox,,
diagnosis_als_etiology_environmental_factors,text,,
diagnosis_als_etiology_genetic_factors,checkbox,,
diagnosis_als_etiology_genetic_factors_other,text,,
diagnosis_als_gsd,radio,,
diagnosis_als_gsd_calculation,text,,
diagnosis_als_gsd_category_1,radio,,
diagnosis_als_gsd_category_2,radio,,
diagnosis_als_gsd_category_3,radio,,
diagnosis_als_gsd_confirmation_method,checkbox,,
diagnosis_als_idt_emg_ncs,text,,
diagnosis_als_idt_genetic_testing,text,,
diagnosis_als_idt_lumbar_puncture,text,,
diagnosis_als_idt_mri,file,,
diagnosis_als_idt_other,text,,
diagnosis_als_na_alsfrs_r_score,text,,
diagnosis_als_na_fvc_percentage,text,,
diagnosis_als_na_other,text,,
diagnosis_als_treatment_and_management,radio,,
diagnosis_als_treatment_and_management_yes,checkbox,,
diagnosis_als_treatment_and_management_yes_medications,checkbox,,
diagnosis_als_treatment_and_management_yes_medications_other,text,,
diagnosis_als_treatment_and_management_yes_supportive_care,checkbox,,
diagnosis_als_treatment_and_management_yes_supportive_care_other,text,,
diagnosis_alz_dementia_mci_ca_adas_cog_score,text,,
diagnosis_alz_dementia_mci_ca_mmse_score,text,,
diagnosis_alz_dementia_mci_ca_moca_score,text,,
diagnosis_alz_dementia_mci_ca_other,text,,
diagnosis_alz_dementia_mci_ca_other_score,text,,
diagnosis_alz_dementia_mci_ca_rudas_score,text,,
diagnosis_alz_dementia_mci_causes,radio,,
diagnosis_alz_dementia_mci_ds,checkbox,,
diagnosis_alz_dementia_mci_ds_cdr,radio,,
diagnosis_alz_dementia_mci_dt,radio,,
diagnosis_alz_dementia_mci_dt_other,text,,
