variable,field_type,validation,identifier
dmdd_diagnosed_dd,radio,,
dmdd_diagnosed_dd_selection,radio,,
dmdd_hist_psy_med_prob_other,text,,
dmdd_hist_psy_med_problems,checkbox,,
dmdd_how_many_depressive_episodes,radio,,
dmdd_last_depressive_episode,text,date_ymd,
dmdd_prescribed_medication,radio,,
dmdd_previous_medication,notes,,
dmdd_see_mental_health_professional,radio,,
dob,text,date_ymd,y
drinking_more,radio,,
drinks_today_number,text,number,
dsm_5_completed_at,text,,y
dsm_5_duration,text,number,
dsm_5_language,radio,,
dsm_5_origin,radio,,
dsm_5_session_id,text,,
dsm_5_started_at,text,,y
dsm_5_via,radio,,
dysarthria,radio,,
dyspnea_index_completed_at,text,,y
dyspnea_index_duration,text,,
dyspnea_index_language,radio,,
dyspnea_index_origin,radio,,
dyspnea_index_session_id,text,,
dyspnea_index_started_at,text,,y
dyspnea_index_via,radio,,
ear_cancer,checkbox,,
ear_med_history,checkbox,,
ear_surgical,checkbox,,
ear_tubes,radio,,
easily_agitated,radio,,
eating_disorder,checkbox,,
ed,radio,,
edible_substance_in_past_three_months,radio,,
edu_level,radio,,y
ef_add_adhd,radio,,
ef_airway_stenosis,radio,,
ef_alcohol_subst_abuse,radio,,
ef_als,radio,,
ef_alz_dementia_mci,radio,,
ef_any_cognitive_challeges,yesno,,
ef_any_hearing_related_req,yesno,,
ef_any_physical_challenges,yesno,,
ef_any_vision_related_req,yesno,,
ef_asd,radio,,
ef_asthma,radio,,
ef_autism,radio,,
ef_benign_cord_lesion,radio,,
ef_bipolar,radio,,
ef_bpd,radio,,
ef_chronic_cough,radio,,
ef_cognitive_a11y_options,checkbox,,
ef_completed_at,text,,y
ef_completed_by,checkbox,,
ef_cond_prompt,descriptive,,
ef_contact_info_stored,yesno,,
ef_copd,radio,,
ef_depression,radio,,
ef_dob,text,date_ymd,y
ef_duration,text,number,
ef_ed,radio,,
ef_eligible_studies,checkbox,,
ef_email,text,email,y
ef_enrollment,radio,,
ef_enrollment_institution,radio,,
ef_enrollment_origin,radio,,
ef_enrollment_via,radio,,
ef_first_name,text,,y
ef_fluent_language_other,text,,
ef_fluent_languages,checkbox,,
ef_gad,radio,,
ef_glottic_insufficiency,radio,,
ef_hearing_a11y_options,checkbox,,
ef_huntingtons,radio,,
ef_insomnia,radio,,
ef_is_control_participant,radio,,
ef_laryng_cancer,radio,,
ef_laryngitis,radio,,
ef_last_name,text,,y
ef_learn_about_this_study,radio,,
ef_learn_about_this_study_event,text,,
ef_learn_about_this_study_other,text,,
ef_mtd,radio,,
ef_ocd,radio,,
ef_osa,radio,,
ef_other_psych,radio,,
ef_other_reason_decline,text,,y
ef_panic,radio,,
ef_parkinsons,radio,,
ef_participant_study_id,text,,y
ef_phone_number,text,phone,y
ef_physical_a11y_options,checkbox,,
ef_primary_language,radio,,
ef_primary_language_other,text,,
ef_ptsd,radio,,
ef_reason_decline_enroll,radio,,
ef_remote_collection_agreement_terms,checkbox,,
ef_researcher_email,text,email,y
ef_rrp,radio,,
ef_schizophrenia,radio,,
ef_select_language,radio,,
ef_soc_anx_dis,radio,,
ef_spas_dys,radio,,
ef_speech_delay,radio,,
ef_started_at,text,,y
ef_vision_a11y_options,checkbox,,
ef_voc_fold_paralysis,radio,,
eligible_studies,checkbox,,
email,text,email,y
emotionally_upset,radio,,
emphysema,radio,,
employ_status,checkbox,,
energetic,radio,,
enrolled,yesno,,
enrollment_institution,radio,,
enrollment_reason,text,,y
epilepsy,radio,,
esophageal_cancer,checkbox,,
esophageal_dilation,radio,,
ethnicity,radio,,
ever_alcohol_rehab,radio,,
ever_used_nicotine_products,checkbox,,
ever_used_nicotine_products_specify,text,,
exclude_participant,radio,,
exclude_reason,checkbox,,
exclude_reason_other,text,,
exclusion_date,text,date_mdy,
experimental_treatment,checkbox,,
experimental_treatment_current_specify,text,,
experimental_treatment_past_specify,text,,
exposed_environmental_pollution,radio,,
feeling_bad_self,radio,,
feeling_depressed,radio,,
feeling_detached,radio,,
feeling_down,radio,,
feeling_jumpy,radio,,
feeling_more_irritated,radio,,
feeling_nervous,radio,,
feeling_panic,radio,,
fidget,radio,,
financial_assistance_ca,radio,,
financial_assistance_usa,radio,,
finish_other_sent,radio,,
first_name,text,,y
flashbacks,radio,,
gad,radio,,
gad_7_completed_at,text,,y
gad_7_duration,text,number,
gad_7_language,radio,,
gad_7_origin,radio,,
gad_7_session_id,text,,
gad_7_started_at,text,,y
gad_7_via,radio,,
gender_identity,radio,,
glottic_insufficiency,radio,,
glottic_insufficiency_med_hist_throat,checkbox,,
grandparent,radio,,
hallucinogens,radio,,
hard_to_sit_still,radio,,
hard_to_work,radio,,
harvard_sentences_completed_at,text,,y
harvard_sentences_duration,text,number,
harvard_sentences_language,radio,,
harvard_sentences_list_order,text,,
harvard_sentences_origin,radio,,
harvard_sentences_recording_acoustic_task_id,text,,
harvard_sentences_session_id,text,,
harvard_sentences_started_at,text,,y
harvard_sentences_via,radio,,
hd_activities_of_daily_living,radio,,
hd_antidepressant_specify,text,,
hd_any_treatment,radio,,
hd_cag_repeat_length,text,number,
hd_cag_repeat_length_known,radio,,
hd_care_level,radio,,
hd_confirmed_by_consistent_clinical_presentation,radio,,
hd_confirmed_by_genetic_testing,radio,,
hd_dcl,text,number,
hd_disease_subtype,radio,,
hd_domestic_chores,radio,,
hd_finances,radio,,
hd_medications_selection,checkbox,,
hd_motor_exam,descriptive,,
hd_neuroleptic_specify,text,,
hd_occupation,radio,,
hd_slp_therapy_selection,checkbox,,
hd_total,calc,,
hd_total_func_cap_rating_scale,descriptive,,
hd_type_of_treatment,checkbox,,
hd_uhdrs_speech_training,text,number,
hd_uhdrs_total_chorea_score,text,number,
hd_uhdrs_total_motor_score,text,number,
hd_vmat2_inhibitor_specify,text,,
head_med_history,checkbox,,
head_surgical,checkbox,,
headache_migraine,radio,,
hearing,radio,,
hearing_loss,radio,,
hearing_things,radio,,
height,text,number,
heroin,radio,,
hispanic_latino_selection,checkbox,,
hormone_use,checkbox,,
hormones,radio,,
hostile,radio,,
hours_voice_activity,text,number,
household_count,text,number,
household_income_ca,radio,,
household_income_usa,radio,,
housing_status,radio,,
hrt,radio,,
huntingtons,radio,,
hydration,text,number,
hydration_today,text,number,
illness_not_taken_serious,radio,,
immune_suppressors,radio,,
immunotherapy,checkbox,,
inclusion_date,text,date_mdy,
independent_living,radio,,
infection_disease,text,,
inhalants,radio,,
inhaled_corticosteroids,radio,,
injection_implant_to_vocal_folds,checkbox,,
insomnia,radio,,
inspired,radio,,
insulin,radio,,
interrupt_others,radio,,
interstitial_lung_disease,radio,,
irritable,radio,,
irritated,radio,,
is_control_participant,radio,,
is_feasibility_participant,radio,,
is_prolific,radio,,
is_regular_smoker,yesno,,
is_remote_data_collection_enabled,radio,,
isolated,radio,,
joyful,radio,,
lack_of_pleasure,radio,,
laryng_cancer,radio,,
laryngeal_cancer,checkbox,,
laryngitis,radio,,
laryngitis_med_hist_throat,checkbox,,
laryngospasm_irritable_larynx,checkbox,,
last_name,text,,y
lcq_anxious,radio,,
lcq_bout,radio,,
lcq_chest_stomach_pains,radio,,
lcq_embarrassed,radio,,
lcq_energy,radio,,
lcq_exposure_paint,radio,,
lcq_fed_up,radio,,
lcq_felt_in_control,radio,,
lcq_frustrated,radio,,
lcq_hoarse_voice,radio,,
lcq_interfere_job,radio,,
lcq_interfere_life,radio,,
lcq_interrupt_conversation,radio,,
lcq_other_people,radio,,
lcq_partner,radio,,
lcq_serious_illness,radio,,
lcq_sleep,radio,,
lcq_sputum_phlegm,radio,,
lcq_tired,radio,,
left_out_convo,radio,,
leicester_cough_completed_at,text,,y
leicester_cough_duration,text,,
leicester_cough_language,radio,,
leicester_cough_origin,radio,,
leicester_cough_session_id,text,,
leicester_cough_started_at,text,,y
leicester_cough_via,radio,,
lesions_vocal_cord,checkbox,,
little_interest,radio,,
live_by_yourself,radio,,
lobectomy,radio,,
lonely,radio,,
losing_interest,radio,,
lung_cancer,checkbox,,
lung_or_metastatic,checkbox,,
marijuana,radio,,
marital_status,checkbox,,
mbd_active_psy_med_prob_other,text,,
mbd_active_psy_med_problems,checkbox,,
mbd_current_medication,notes,,
mbd_describe_psychotherapy,notes,,
mbd_diagnosed_bipolar_i_ii_other,radio,,
mbd_diagnosed_bm,radio,,
mbd_diagnosed_bm_selection,radio,,
mbd_diagnosed_other,text,,
mbd_ever_seen_heard,radio,,
mbd_had_manic_episode,radio,,
mbd_hist_psy_med_prob_other,text,,
mbd_hist_psy_med_problems,checkbox,,
mbd_last_depressive_episode,text,date_ymd,y
mbd_last_manic_episode,text,date_ymd,y
mbd_many_depressive_episodes,radio,,
mbd_many_manic_episodes,radio,,
mbd_prescribed_medication,radio,,
mbd_previous_medication,notes,,
mbd_see_mental_health_professional,radio,,
medication_enmt,checkbox,,
medication_med_hist_cancer,checkbox,,
medication_med_hist_lung,radio,,
medication_med_history_neuro,checkbox,,
medication_med_history_psychological,checkbox,,
medication_use,radio,,
medications,checkbox,,
memory_issues,radio,,
menstrual_cycle_status,radio,,
menstruate,radio,,
menstruate_no,radio,,
methamphetamine,radio,,
mindfulness_meditation,checkbox,,
misplace,radio,,
mit_consent_name_es_v2,text,,y
mit_consent_signature_es_v2,file,signature,y
mit_icf_date_en,text,date_ymd,y
mit_icf_date_en_v2,text,date_ymd,y
mit_icf_date_es_v2,text,date_ymd,y
mit_icf_name_en,text,,y
mit_icf_name_en_v2,text,,y
mit_icf_name_es_v2,text,,y
mit_icf_p1_en,descriptive,,
mit_icf_p1_en_v2,descriptive,,
mit_icf_p1_es_v2,descriptive,,
mit_icf_p2_en,descriptive,,
mit_icf_p2_en_v2,descriptive,,
mit_icf_p2_es_v2,descriptive,,
mit_icf_p3_en,descriptive,,
mit_icf_p3_en_v2,descriptive,,
mit_icf_p3_es_v2,descriptive,,
mit_icf_p4_en,descriptive,,
mit_icf_p4_en_v2,descriptive,,
mit_icf_p4_es_v2,descriptive,,
mit_icf_p5_en,descriptive,,
mit_icf_p5_en_v2,descriptive,,
mit_icf_p5_es_v2,descriptive,,
mit_icf_p6_en,descriptive,,
mit_icf_p6_en_v2,descriptive,,
mit_icf_p6_es_v2,descriptive,,
mit_icf_p7_en,descriptive,,
mit_icf_p7_en_v2,descriptive,,
mit_icf_p7_es_v2,descriptive,,
mit_icf_p8_en,descriptive,,
mit_icf_p8_en_v2,descriptive,,
mit_icf_p8_es_v2,descriptive,,
mit_icf_p9_en_v2,descriptive,,
mit_icf_p9_es_v2,descriptive,,
mit_icf_question_en,radio,,y
mit_icf_question_en_v2,radio,,y
mit_icf_question_es_v2,radio,,y
mit_icf_signature_en,file,signature,y
mit_icf_signature_en_v2,file,signature,y
mit_icf_signature_es_v2,file,signature,y
mobility,radio,,
moca_duo_pdf,file,,y
moca_notes,descriptive,,
moca_pdf_uploaded_by,text,,y
motivated,radio,,
move_speak_slow,radio,,
mph_active_psy_medical_problems,text,,
mph_completed_at,text,,y
mph_current_medication,notes,,
mph_describe_psychotherapy,notes,,
mph_duration,text,number,
mph_hist_psy_medical_problems,text,,
mph_language,radio,,
mph_origin,radio,,
mph_prescribed_medication,radio,,
mph_previous_medication,notes,,
mph_see_mental_health_professional,radio,,
mph_session_id,text,,
mph_started_at,text,,y
mph_via,radio,,
mtd,radio,,
multiple_sclerosis,radio,,
muscle_relaxants,radio,,
muscle_tension_dysphonia,checkbox,,
nasal_congestion_obstruction,radio,,
native_american_race,checkbox,,
neg_emotional_state,radio,,
nervous,radio,,
nervous_anxious,radio,,
neuro_modulators,radio,,
neurological_history,checkbox,,
no_appetite,radio,,
no_energy,radio,,
no_interest,radio,,
no_purpose,radio,,
non_surgical_treatment_enmt_speech_cond,checkbox,,
non_surgical_treatment_enmt_speech_cond_specify,text,,
nose_med_history,checkbox,,
nose_surgery,radio,,
nose_surgical,checkbox,,
nsaids,radio,,
number_of_uses_per_day_now,text,number,
number_years_used_nicotine,text,number,
obesity,radio,,
obsessive_compulsive_disorder,checkbox,,
occupation,text,,
ocd,radio,,
opiates,radio,,
oral_cancer,checkbox,,
oral_steroids,radio,,
osa,radio,,
osa_med_hist_lung,radio,,
other_cancer,checkbox,,
other_cancer_current_specify,text,,
other_cancer_past_specify,text,,
other_cancer_treatment,checkbox,,
other_cancer_treatment_past_specify,text,,
other_ear_nose_mouth_condition,radio,,
other_ear_nose_mouth_condition_specify,text,,
other_edu_level,text,,
other_employ_specify,notes,,
other_gender_identity,text,,
other_heart_disease,radio,,
other_heart_disease_specify,text,,
other_hormone_replacement,radio,,
other_hormone_replacement_specify,text,,
other_live_with,radio,,
other_lung_conditions,radio,,
other_lung_conditions_specify,text,,
other_lung_treatment,radio,,
other_lung_treatment_specify,text,,
other_menstruate_specify,text,,
other_neurological_condition,radio,,
other_neurological_condition_specify,text,,
other_neurological_treatment,checkbox,,
other_neurological_treatment_specify,text,,
other_psych,radio,,
other_race_specify,text,,
other_sex_orientation,text,,
other_smoking_specify,text,,
other_speech_condition,radio,,
other_speech_conditions_specify,text,,
other_surgical_treatment_enmt_speech_cond_specify,text,,
other_surgical_treatment_enmt_speech_condition,radio,,
other_throat_condition,checkbox,,
other_throat_condition_specify,text,,
other_transportation,text,,
other_treatment_cancer_current_specify,text,,
other_treatment_psychological_condition,checkbox,,
other_treatment_psychological_condition_specify,text,,
other_voice_activity,text,,
others_household_specify,text,,
overly_active,radio,,
pacific_islander_race,checkbox,,
pain_medication,checkbox,,
pain_medications,radio,,
painkillers,radio,,
panas_completed_at,text,,y
panas_duration,text,number,
panas_language,radio,,
panas_origin,radio,,
panas_session_id,text,,
panas_started_at,text,,y
panas_via,radio,,
panic,radio,,
panic_disorder,checkbox,,
paper_consent_enrollment_institution,dropdown,,
paper_consent_notes,descriptive,,
paper_consent_pdf_all_sites,file,,y
paper_consent_uploaded_by,text,,y
parent,radio,,
parkinsons,radio,,
parkinsons_disease,radio,,
part_asthmaeosinop_hil,text,number,
part_copd,checkbox,,
participant_data_collection_origins,checkbox,,
participant_data_collection_via,checkbox,,
participant_study_id,text,,y
peds_annoyed_repeat,radio,,
peds_avoid_communicating,radio,,
peds_cognition,radio,,
peds_country,dropdown,,
peds_demographics_completed_at,text,,y
peds_demographics_duration,text,number,
peds_demographics_language,radio,,
peds_demographics_origin,radio,,
peds_demographics_session_id,text,,
peds_demographics_started_at,text,,y
peds_demographics_via,radio,,
peds_difficulty_hearing,radio,,
peds_difficulty_understanding,radio,,
peds_dry_raspy_hoarse,radio,,
peds_edu_level,radio,,y
peds_embarrassed_repeat,radio,,
peds_first_language,radio,,
peds_frustrated_voice,radio,,
peds_gender_identity,radio,,
peds_gives_out,radio,,
peds_hearing,radio,,
peds_less_out_going,radio,,
peds_mc_a_therapy,radio,,
peds_mc_a_therapy_specified,text,,
peds_mc_adenoidectomy,radio,,
peds_mc_adenoidectomy_date,text,date_ymd,y
peds_mc_allergies,radio,,
peds_mc_allergies_specified,text,,
peds_mc_breathing_conditions,checkbox,,
peds_mc_chronic_medical_condition,radio,,
peds_mc_chronic_medical_condition_specified,text,,
peds_mc_completed_at,text,,y
peds_mc_conditions,checkbox,,
peds_mc_conditions_other_specified,text,,
peds_mc_dif_swallowing,radio,,
peds_mc_dif_swallowing_specified,text,,
peds_mc_duration,text,,
peds_mc_ear_inf_ant_py,radio,,
peds_mc_ear_inf_ant_py_specified,text,,
peds_mc_epistaxis,radio,,
peds_mc_etp,radio,,
peds_mc_etp_procedure,text,,
peds_mc_etp_procedure_date,text,date_ymd,y
peds_mc_eval_voice_swal_c,radio,,
peds_mc_eval_voice_swal_c_specified,text,,
peds_mc_fr_inf_tons,radio,,
peds_mc_fr_inf_tons_specified,text,,
peds_mc_fr_v_f,radio,,
peds_mc_fr_v_f_specified,text,,
peds_mc_ft,radio,,
peds_mc_ft_specified,text,,
peds_mc_genetic_syndromes,radio,,
peds_mc_genetic_syndromes_specified,text,,
peds_mc_hearing_loss,checkbox,,
peds_mc_hl,radio,,
peds_mc_hl_specified,text,,
peds_mc_hospitalized,radio,,
peds_mc_hospitalized_specified,text,,
peds_mc_hw_voice_2_w,radio,,
peds_mc_hw_voice_2_w_specified,text,,
peds_mc_l2w,checkbox,,
peds_mc_language,radio,,
peds_mc_lingual_tonsillectomy,radio,,
peds_mc_lingual_tonsillectomy_date,text,date_ymd,y
peds_mc_meds,radio,,
peds_mc_meds_specified,text,,
peds_mc_nasal_fractures,radio,,
peds_mc_neck_mass,checkbox,,
peds_mc_neck_mass_branchial_cleft_cyst_surgery,radio,,
peds_mc_neck_mass_branchial_cleft_cyst_surgery_date,text,date_ymd,y
peds_mc_neck_mass_dermoid_cyst_surgery,radio,,
peds_mc_neck_mass_dermoid_cyst_surgery_date,text,date_ymd,y
peds_mc_neck_mass_enlarged_lymph_node_surgery,radio,,
peds_mc_neck_mass_enlarged_lymph_node_surgery_date,text,date_ymd,y
peds_mc_neck_mass_hyroid_nodule_or_cancer_surgery,radio,,
peds_mc_neck_mass_hyroid_nodule_or_cancer_surgery_date,text,date_ymd,y
peds_mc_neck_mass_other,text,,
peds_mc_neck_mass_thyroglossal_duct_cyst_surgery,radio,,
peds_mc_neck_mass_thyroglossal_duct_cyst_surgery_date,text,date_ymd,y
peds_mc_neurological_disorders,radio,,
peds_mc_neurological_disorders_specified,text,,
peds_mc_no_surgeries,radio,,
peds_mc_no_surgeries_procedure,text,,
peds_mc_no_surgeries_procedure_date,text,date_ymd,y
peds_mc_origin,radio,,
peds_mc_ox_sup,radio,,
peds_mc_ox_sup_specified,text,,
peds_mc_psych_disorders,checkbox,,
peds_mc_psych_disorders_other,text,,
peds_mc_reflux,radio,,
peds_mc_reflux_specified,text,,
peds_mc_session_id,text,,
peds_mc_snoring_apnea,checkbox,,
peds_mc_snoring_apnea_had_sleep_study_oahi,text,,
peds_mc_started_at,text,,y
peds_mc_stridor,radio,,
peds_mc_stridor_specified,text,,
peds_mc_surgery_t_vc_a,radio,,
peds_mc_surgery_t_vc_a_specified,text,,
peds_mc_tonsillectomy,radio,,
peds_mc_tonsillectomy_date,text,date_ymd,y
peds_mc_v_dis,radio,,
peds_mc_v_dis_specified,text,,
peds_mc_via,radio,,
peds_mc_voice_disorders,checkbox,,
peds_mobility,radio,,
peds_os_completed_at,text,,y
peds_os_duration,text,,
peds_os_interfered_activities,radio,,
peds_os_language,radio,,
peds_os_limit_understood,radio,,
peds_os_origin,radio,,
peds_os_session_id,text,,
peds_os_started_at,text,,y
peds_os_straining,radio,,
peds_os_trouble_food_iquids,radio,,
peds_os_via,radio,,
peds_other_edu_level,text,,
peds_other_first_language,text,,
peds_other_gender_identity,text,,
peds_other_not_understand,radio,,
peds_other_primary_language,text,,
peds_other_race_specify,text,,
peds_out_of_air_talking,radio,,
peds_phqa_completed_at,text,,y
peds_phqa_duration,text,number,
peds_phqa_feeling_bad_self,radio,,
peds_phqa_feeling_depressed,radio,,
peds_phqa_language,radio,,
peds_phqa_move_speak_slow,radio,,
peds_phqa_no_appetite,radio,,
peds_phqa_no_energy,radio,,
peds_phqa_no_interest,radio,,
peds_phqa_origin,radio,,
peds_phqa_session_id,text,,
peds_phqa_started_at,text,,y
peds_phqa_thoughts_death,radio,,
peds_phqa_trouble_concentrate,radio,,
peds_phqa_trouble_sleeping,radio,,
peds_phqa_via,radio,,
peds_primary_language,radio,,
peds_qol_anxious_frustrated,radio,,
peds_qol_come_out_speaking,radio,,
peds_qol_completed_at,text,,y
peds_qol_depressed,radio,,
peds_qol_duration,text,,
peds_qol_language,radio,,
peds_qol_less_outgoing,radio,,
peds_qol_origin,radio,,
peds_qol_out_of_air,radio,,
peds_qol_repeat_understood,radio,,
peds_qol_session_id,text,,
peds_qol_started_at,text,,y
peds_qol_trouble_doing_schoolwork,radio,,
peds_qol_trouble_phone_speaking,radio,,
peds_qol_trouble_speaking_heard,radio,,
peds_qol_via,radio,,
peds_race,checkbox,,
peds_repeat_speaking,radio,,
peds_seem_irritated,radio,,
peds_self_care,radio,,
peds_severity_voice_problem,slider,number,
peds_speaks_less,radio,,
peds_state_province,text,,
peds_straining,radio,,
peds_tense_talking,radio,,
peds_unpredictable,radio,,
peds_vhi_completed_at,text,,y
peds_vhi_duration,text,,
peds_vhi_language,radio,,
peds_vhi_origin,radio,,
peds_vhi_session_id,text,,
peds_vhi_started_at,text,,y
peds_vhi_talkativeness,slider,number,
peds_vhi_via,radio,,
peds_vision,radio,,
peds_voice_changes,radio,,
peds_voice_diffculities,radio,,
peds_voice_difficult_hear,radio,,
peds_worse_in_evening,radio,,
peds_wrong_with_voice,radio,,
peds_yell_to_hear,radio,,
peds_zipcode,text,,y
ph_concentrating,radio,,
ph_day_to_day_work,radio,,
ph_dealing_people,radio,,
ph_friendship,radio,,
ph_get_dressed,radio,,
ph_health_problem,radio,,
ph_learn_task,radio,,
ph_problem_join,radio,,
ph_standing,radio,,
ph_take_care,radio,,
ph_walking,radio,,
ph_washing,radio,,
phone_number,text,,y
phq_9_completed_at,text,,y
phq_9_duration,text,number,
phq_9_language,radio,,
phq_9_origin,radio,,
phq_9_session_id,text,,
phq_9_started_at,text,,y
phq_9_via,radio,,
phys_health_impact,text,integer,
phys_health_limited,text,integer,
physical_health_freq,text,integer,
pneumothorax_atelectasis,radio,,
primary_transportation,radio,,
prolific_id,text,,
prolonged_intubation,radio,,
psychological_condition_other,checkbox,,
psychological_condition_other_specify,text,,
psychotropic_antipsychotic_medications,radio,,
ptsd,radio,,
ptsd_completed_at,text,,y
ptsd_duration,text,number,
ptsd_language,radio,,
ptsd_med_hist_psychological,checkbox,,
ptsd_origin,radio,,
ptsd_session_id,text,,
ptsd_started_at,text,,y
ptsd_via,radio,,
pulmonary_hypertension,radio,,
q1_happy,radio,,
q2_self_confident,radio,,
q3_sleep,radio,,
q4_talk,radio,,
q5_active,radio,,
race,checkbox,,
radiation,checkbox,,
radiation_to_head_neck,checkbox,,
radiation_to_the_chest,radio,,
radioactive_iodine,checkbox,,
random_completed_at,text,,y
random_duration,text,,
random_item_generation_category,radio,,
random_language,radio,,
random_origin,radio,,
random_recording_acoustic_task_id,text,,
random_session_id,text,,
random_started_at,text,,y
random_via,radio,,
reading_aloud,radio,,
record_id,text,,
recording_acoustic_task_id,text,,
recording_browser,text,,
recording_browser_version,text,,
recording_created_at,text,,y
recording_device_info,text,,
recording_device_type,text,,
recording_duration,text,,
recording_file_share,text,,y
recording_filepath,text,,y
recording_id,text,,
recording_input_gain,text,,
recording_language,radio,,
recording_microphone,text,,
recording_name,text,,
recording_origin,radio,,
recording_platform,text,,
recording_platform_architecture,text,,
recording_platform_version,text,,
recording_profile_name,radio,,
recording_profile_version,radio,,
recording_screen_resolution,text,,
recording_session_id,text,,
recording_size,text,,
recording_storage_account,text,,y
recording_touch_screen,radio,,
recording_via,radio,,
recording_window_resolution,text,,
recreational_drug_use,yesno,,
recurrent_bronchitis,radio,,
reflux_medications,radio,,
rehab_counseling_substance_use,radio,,
relaxed,radio,,
remain_seated,radio,,
remembering_appt,radio,,
repeat_acts,radio,,
researcher_email,text,email,y
resp_medical_history,checkbox,,
respiratory_conditions,checkbox,,
restless,radio,,
roommate,radio,,
rrp,radio,,
sad_or_down,radio,,
schizophrenia,radio,,
schizophrenia_med_hist_psychological,checkbox,,
scoliosis,radio,,
scratchy_sore_throat,radio,,
seasonal_allergies,yesno,,
seasonal_allergies_med_hist_enm,radio,,
seasonal_allergies_options,checkbox,,
sedatives,radio,,
selected_language,radio,,
selected_language_2,radio,,
self_care,radio,,
self_harm,radio,,
session_assigned_tasks,text,,
session_completed_at,text,,y
session_completed_by,checkbox,,
session_duration,text,number,
session_id,text,,
session_is_control_participant,radio,,
session_language,radio,,
session_record_id,text,,
session_site,radio,,
session_started_at,text,,y
session_status,radio,,
sex_assigned_at_birth,radio,,
sexual_orientation,radio,,
shortness_breath,radio,,
show_prolific_study_id,radio,,
sinus_cancer,checkbox,,
sinus_surgery,radio,,
sinusitis,radio,,
site_consent_wcm_best_contact_method_en_v1,text,,y
site_consent_wcm_best_contact_method_es_v1,text,,y
site_consent_wcm_date_en_v1,text,date_ymd,y
site_consent_wcm_name_en_v1,text,,y
site_consent_wcm_p1_en,descriptive,,
site_consent_wcm_p2_en,descriptive,,
site_consent_wcm_p3_en,descriptive,,
site_consent_wcm_p4_en,descriptive,,
site_consent_wcm_p5_en,descriptive,,
site_consent_wcm_signature_en_v1,file,signature,y
site_consent_wcm_yes_en_v1,radio,,
site_consent_wcm_yes_es_v1,radio,,
sjogrens_syndrome,radio,,
sleep_disturbance,radio,,
sleep_quality,radio,,
sleep_surgery,radio,,
sleeping_less,radio,,
smoked_substance_in_past_three_months,radio,,
smoking_age_regular_cigarette_smoking,radio,,
smoking_age_regular_cigarette_smoking_age,text,integer,
smoking_age_stopped,radio,,
smoking_age_stopped_age,text,integer,
smoking_cigarettes_day_current_avg,radio,,
smoking_cigarettes_day_current_avg_number,text,integer,
smoking_cigarettes_day_past_avg,radio,,
smoking_cigarettes_day_past_avg_number,text,integer,
smoking_electronic,radio,,
smoking_electronic_current_occurence,radio,,
smoking_entire_life,radio,,
smoking_freq,radio,,
smoking_hx,radio,,
smoking_marijuana,radio,,
smoking_more,radio,,
smoking_occurrence,radio,,
smoking_types,checkbox,,
smoking_years_cigarettes,radio,,
smoking_years_cigarettes_years,text,integer,
soc_anx_dis,radio,,
social_phobia_1,radio,,
social_phobia_10,radio,,
social_phobia_2,radio,,
social_phobia_3,radio,,
social_phobia_4,radio,,
social_phobia_5,radio,,
social_phobia_6,radio,,
social_phobia_7,radio,,
social_phobia_8,radio,,
social_phobia_9,radio,,
someone_hear_thoughts,radio,,
spas_dys,radio,,
specify_current_neuro,text,,
specify_gender_identity,radio,,
speech_delay,radio,,
speech_difficulty,radio,,
speech_voice_swallowing_therapy,checkbox,,
spouse_partner_sig_other,radio,,
started_using_nicotine_products,radio,,
starting_more_projects,radio,,
state_province,text,,
stimulants,radio,,
stimulants_medications,radio,,
stopped_using_nicotine_products,radio,,
strain_voice,radio,,
stroke,radio,,
stroop_completed_at,text,,y
stroop_duration,text,,
stroop_item_color_1,radio,,
stroop_item_color_10,radio,,
stroop_item_color_11,radio,,
stroop_item_color_12,radio,,
stroop_item_color_13,radio,,
stroop_item_color_14,radio,,
stroop_item_color_15,radio,,
stroop_item_color_2,radio,,
stroop_item_color_3,radio,,
stroop_item_color_4,radio,,
stroop_item_color_5,radio,,
stroop_item_color_6,radio,,
stroop_item_color_7,radio,,
stroop_item_color_8,radio,,
stroop_item_color_9,radio,,
stroop_item_correct_1,radio,,
stroop_item_correct_10,radio,,
stroop_item_correct_11,radio,,
stroop_item_correct_12,radio,,
stroop_item_correct_13,radio,,
stroop_item_correct_14,radio,,
stroop_item_correct_15,radio,,
stroop_item_correct_2,radio,,
stroop_item_correct_3,radio,,
stroop_item_correct_4,radio,,
stroop_item_correct_5,radio,,
stroop_item_correct_6,radio,,
stroop_item_correct_7,radio,,
stroop_item_correct_8,radio,,
stroop_item_correct_9,radio,,
stroop_item_stimulus_1,radio,,
stroop_item_stimulus_10,radio,,
stroop_item_stimulus_11,radio,,
stroop_item_stimulus_12,radio,,
stroop_item_stimulus_13,radio,,
stroop_item_stimulus_14,radio,,
stroop_item_stimulus_15,radio,,
stroop_item_stimulus_2,radio,,
stroop_item_stimulus_3,radio,,
stroop_item_stimulus_4,radio,,
stroop_item_stimulus_5,radio,,
stroop_item_stimulus_6,radio,,
stroop_item_stimulus_7,radio,,
stroop_item_stimulus_8,radio,,
stroop_item_stimulus_9,radio,,
stroop_item_time_1,text,,
stroop_item_time_10,text,,
stroop_item_time_11,text,,
stroop_item_time_12,text,,
stroop_item_time_13,text,,
stroop_item_time_14,text,,
stroop_item_time_15,text,,
