id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description
bridge2ai_voice	root	https://b2ai-voice.org/bridge2ai-voice-dataset/			NIH Bridge2AI Voice Consortium (Precision Public Health Grand Challenge)	Bridge2AI Voice Consortium (Precision Public Health Grand Challenge) aims to integrate the use of voice as biomarker of health in clinical care by generating a substantial multi-institutional, ethically sourced, and diverse voice database linked to multimodal health biomarkers to fuel voice AI research and build predictive models to assist in screening, diagnosis, and treatment of a broad range of diseases. Data collection will be made possible by software through a smartphone application linked to electronic health records (EHR) and other health biomarkers such as radiomics, and genomics, and supported by federated learning technology to protect data privacy.
bridge2ai_voice	adult				Bridge2AI Voice - Adult	Adult data for the Bridge2AI Voice Consortium.
bridge2ai_voice	peds				Bridge2AI Voice - Pediatric	Pediatric data for the Bridge2AI Voice Consortium.
bridge2ai_voice	adult_registered	https://physionet.org/content/b2ai-voice/			Bridge2AI-Voice: An ethically-sourced, diverse voice dataset linked to health information	Registered-access adult data (derived features, metadata, and phenotype) for the Bridge2AI Voice Consortium.
bridge2ai_voice	adult_controlled	https://www.synapse.org/b2ai_voice_adult			Bridge2AI-Voice: An ethically-sourced, diverse voice dataset linked to health information - Raw Audio Adult Dataset	Controlled-access adult data (raw audio recordings) for the Bridge2AI Voice Consortium.
bridge2ai_voice	peds_registered	https://physionet.org/content/b2ai-voice-pediatric/			Bridge2AI-Voice Pediatric Dataset	Registered-access pediatric data (derived features, metadata, and phenotype) for the Bridge2AI Voice Consortium.
bridge2ai_voice	peds_controlled	https://www.synapse.org/b2ai_voice_pediatrics			Bridge2AI-Voice Pediatric Dataset - Raw Audio Pediatric Dataset	Controlled-access pediatric data (raw audio recordings) for the Bridge2AI Voice Consortium.
